Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Twist_Linear_X,Twist_Linear_Y,Twist_Linear_Z,Twist_Angular_X,Twist_Angular_Y,Twist_Angular_Z
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00022883603344440485,0.00010897641525134394,5.692080230801366e-05,0.0,0.0,-0.0005033087762757476,0.9999998733401299,0.006830314701501503,0.0032527360311418066,0.0016989762799753355,0.0,0.0,-0.030045594500537127
0.0006916558631267955,-0.00041667463760943976,7.106468441240785e-05,-0.0003229665375445456,8.600955844617719e-07,-0.005572350654252391,0.9999844221786967,0.00716232448590231,-0.005829369597563273,0.004040713454679076,-0.019281652704914363,1.8963424192260455e-20,-0.17368783886562186
0.0020912224016636552,-0.002898363577680688,-4.472650921516158e-05,-0.0009002872910872313,-0.0001639371553338374,-0.026222304340741392,0.9996557174159831,0.005602078192685812,-0.03795416072185451,-0.00729141641943647,-0.06097758221915847,-0.010307092716484913,-0.672809275866935
-0.0025223674970247063,-0.008922366350001253,-0.0045733557939341765,-0.009894112962283076,0.005325888894703017,-0.078813150178181,0.9968260775055808,-0.20977679584879963,-0.13601255369273277,-0.1342639048971375,-0.4407356859401825,0.25306380362953085,-1.549778591846797
-0.005306550518900678,-0.008093066884895046,-0.005068374576365633,0.009735912077910042,0.06769430212614379,-0.14928091142768488,0.9864268360902319,0.03909223403661483,0.002815109199547301,0.008859533226519216,0.20550421302617955,0.6136627662377181,-0.49128821873174183
-0.005590807614970592,-0.007857654817650144,-0.005350785783152232,0.012311234129450274,0.07894258891776638,-0.15166735805918316,0.9851971953210777,-0.008519988740285898,0.0042625658071622574,0.0059870128334187644,0.027476706341598375,0.25236294818809035,-1.6697091749761725e-15
-0.005257748742897163,-0.009240557089911037,-0.005934261241892192,0.015225679546692704,0.09150969918554247,-0.1614721245409284,0.9825074588182787,0.004452063075396133,0.0003023398841382723,-0.01247256434512221,0.04233394096767916,0.3594421101805937,-0.21485289384364778
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004845587998567197,-0.014143929220187626,-0.005677833193449694,0.021525475518362338,0.12123918936160588,-0.16697479569011092,0.9782418568385298,-0.012033812516078164,0.0017060509095694672,0.002408072174600849,0.12085974494559748,-0.010421266477113956,-0.21049926934174473
-0.001810583736141247,-0.015597455473213093,-0.005036857758392972,0.025942322967662187,0.11697897125161665,-0.15675891350259355,0.9803415523180895,0.08710732014213987,0.021376796869855916,0.045999799714672,0.16926422909072425,-0.2542167202261618,0.6021905870012085
0.0015429347044097655,-0.01396280680388505,0.0012272252533941607,0.07508161264619573,0.05601258229705607,-0.15344175886226755,0.9837077659061738,0.03500922423428152,0.06762827246949157,0.0464858069340863,1.529194386555298,-1.4517710747379715,0.3219291214748104
0.0019077326005473305,-0.012833864573317363,0.005454270912422888,0.09447602385027447,0.030419777629302727,-0.15013808707765097,0.9836704086507276,-0.029462238608995127,-0.018584445809507716,0.0438602265026238,-0.45826533147501086,-1.0477914206189943e-16,0.0
0.0013190199520744868,-0.014999977592141767,0.013161770129262725,0.040723814218552284,0.01705584256416561,-0.14328414765929604,0.988696273998981,0.0004213958730378518,0.015116465755608516,0.08116581077794512,-0.6720781738655855,-0.4213753377049559,0.21148640168803112
0.0014515078127767557,-0.013272105568451866,0.017596612445331464,0.032214882668760735,0.009730608033971641,-0.14044093675456318,0.989516983121274,-0.013859770504558848,0.029290930758784257,0.05302810068996406,-0.13396422020904503,-0.1801154882079187,0.03855755227449917
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003603542465108922,-0.0009124711064841706,0.024426839376195122,0.02693212474123386,-0.006419911672596664,-0.1325707224064665,0.9907867827901551,-0.007615678390086535,0.07910282541265834,0.026250525815294724,-0.06854676791931462,2.610883892683554e-17,0.03747261687004576
0.0036301493405440726,0.00462117205925637,0.025155964646265298,0.02737732009525307,-0.007209721920490687,-0.13325077158010398,0.9906779164428458,-0.020737524988344243,0.08344270906154502,0.009190802380766175,-3.8828979227701834e-16,-0.11680759077038069,0.019277624401071544
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
