Time_Step,Twist_Linear_X,Twist_Linear_Y,Twist_Angular_Z,radius,deg
0,0.0,0.0,0.0,nan,nan
1,0.0,0.0,0.0,nan,nan
2,0.0,0.0,0.0,nan,nan
3,0.0,0.0,0.0,nan,nan
4,0.0,0.0,0.0,nan,nan
5,0.0,0.0,0.0,nan,nan
6,0.0,0.0,0.0,nan,nan
7,0.0,0.0,0.0,nan,nan
8,0.0,0.0,0.0,nan,nan
9,0.0,0.0,0.0,nan,nan
10,0.0,0.0,0.0,nan,nan
11,0.0,0.0,0.0,nan,nan
12,0.0,0.0,0.0,nan,nan
13,0.0,0.0,0.0,nan,nan
14,0.0,0.0,0.0,nan,nan
15,0.0,0.0,0.0,nan,nan
16,0.0,0.0,0.0,nan,nan
17,0.0,0.0,0.0,nan,nan
18,0.479161471429797,-0.1571392351925604,-0.4988850424057886,-1.0107944261621935,-21.58582325429726
19,0.607860030843821,-0.3238812263970151,-0.5803606381074339,-1.1867824765832573,-19.94122328981209
20,0.6681751469924107,-0.2274025487243801,-0.6747080416814486,-1.0460992131302773,-20.992574343363625
21,0.7182851978794433,-0.2876218145782742,-0.6735778778408382,-1.1486885215503344,-19.61343080901514
22,0.6922544499069948,-0.280912404624472,-0.7293979171093102,-1.0242415447535373,-21.82063084952156
23,0.7380799919739266,-0.2582385006494755,-0.7548874421414609,-1.0358526680563884,-21.238779787471167
24,0.7909525544430047,-0.3472590346944669,-0.7269191091963051,-1.1883380897214817,-19.25105009287045
25,0.6587174298291857,-0.2626217746174271,-0.7289979087310003,-0.9727593241118172,-22.80886192887834
26,0.6569235535124321,-0.2778982255412882,-0.6788277138702365,-1.0507604909021127,-21.43847402233734
27,0.5953497801766483,-0.2643993946202279,-0.687226123020217,-0.947898039812299,-23.68431552036799
28,0.670484654380674,-0.2254335479796441,-0.7098849732191318,-0.9964548597578168,-21.91641705256913
29,0.6503176863797396,-0.2917328467890217,-0.6776032165328583,-1.0518781563626542,-21.600779590157412
30,0.7203670794156432,-0.2651612575574237,-0.7623778985016255,-1.0068749264676518,-21.908071831660187
31,0.7079070575686356,-0.2823844982930513,-0.7399264292015305,-1.030035534080792,-21.662371921271745
32,0.6776615501998275,-0.2732683938231934,-0.732936884751092,-0.9969277947760187,-22.342453962731618
33,0.6359189282378336,-0.2742833991881085,-0.759179378013582,-0.9122338245765452,-24.401684559904947
34,0.6657023039678752,-0.2964449268281126,-0.7555870957953236,-0.9644478262331051,-23.330949688798945
