Time_Step,Twist_Linear_X,Twist_Linear_Y,Twist_Angular_Z,radius,deg
0,0.7282667948594582,0.365648984072961,0.9095219114428204,0.8959717602453074,25.387918261197964
1,0.7282667948594582,0.365648984072961,0.9095219114428204,0.8959717602453074,25.387918261197964
2,0.7888892199215443,0.3245680192391018,0.8979673251664608,0.9499764703931094,23.390501210388482
3,0.7889955183257611,0.4344627249885679,0.8979673251664608,1.0030501624709836,23.387688483042613
4,0.7972847058378406,0.4074626927203587,0.8979673251664608,0.9971083658942619,23.170300950814156
5,0.810642565593251,0.4725731114601771,0.8979673251664608,1.0449510272047555,22.827914380476635
6,0.810642565593251,0.4568832937326526,0.9308949215793776,0.9996066217783751,23.575010936896394
7,0.810642565593251,0.4766232468824345,0.940833183504702,0.9995163638439426,23.798854324383683
8,0.8638972329803515,0.5054151611272745,0.9432301318244108,1.0611207543243044,22.533363377902596
9,0.8857207200294557,0.4835113847779761,0.9432301318244108,1.0698352184624085,22.03186051331575
10,0.8857207200294557,0.5078563194742336,0.9432301318244108,1.0824392763620225,22.031860513315742
11,0.8718218931489158,0.4591792266855222,0.9577353259688922,1.0288356106190606,22.65794976360591
12,0.8638972329803515,0.428411597171709,0.9595563393178714,1.0049330259779365,22.88350401333385
13,0.8597891805797083,0.4196185431102691,0.9595563393178714,0.9970462915169451,22.981508110925585
14,0.8518182531494867,0.4469691049504937,0.9620436589165218,0.9999177276392573,23.227657556596288
15,0.8406690229549504,0.4326351396361796,0.9595563393178714,0.9853111546406528,23.44828520000256
16,0.8312762586134381,0.4348452577884679,0.9620436589165218,0.9751554413696236,23.738812805386505
17,0.8009865783742962,0.4319196648228869,0.9671755945552348,0.9409033259052303,24.647671225958465
18,0.7982673553781595,0.4009028654228567,0.9671755945552348,0.9235992376596972,24.72160577538127
19,0.7982673553781595,0.4161313590235393,0.9846582356457172,0.9142461660287031,25.11379371042745
20,0.7849379298712889,0.4293895991597403,0.9846582356457172,0.9086485947109524,25.486555901228282
21,0.7839368626970531,0.4016238430749195,0.9846582356457172,0.8945524387011675,25.514968406958218
22,0.7839368626970531,0.4138705467441461,0.9846582356457172,0.9002915210174597,25.514968406958218
23,0.7839368626970531,0.4011589123127734,0.9969859472642876,0.8832787815043378,25.793173287777073
24,0.7913507522866872,0.4693195510822361,0.9846582356457172,0.9343877939823841,25.305937916370425
25,0.8153694491353916,0.4601477755502068,0.9969859472642876,0.9390800369825553,24.921546751783907
26,0.8153694491353916,0.384718176661257,0.988950327823786,0.911647257233224,24.744822248292333
27,0.8153694491353916,0.4160300563154845,0.9977878536562964,0.9174027663121405,24.939155093674614
28,0.8153694491353916,0.4353792792529278,0.988950327823786,0.9346557498771647,24.744822248292333
29,0.8153694491353916,0.4196521195549736,1.01657526377682,0.9020731125336645,25.350248726998316
30,0.8364034441875006,0.4187742572123855,0.988950327823786,0.9458348293717307,24.194671766900683
31,0.8543378439289336,0.4370439078380738,1.013662170489216,0.9467016240190477,24.26897985600959
32,0.8675169235766418,0.4367042760231351,1.0069717761722798,0.9645100403742556,23.801588028446105
33,0.8812189220872985,0.4469681321202251,1.0087304470389409,0.979540928491396,23.508347989951645
34,0.8812189220872985,0.4187430931189196,1.0069717761722798,0.9688948992772741,23.471799625409435
35,0.8812189220872985,0.4485939483972472,1.0069717761722798,0.9819831005711223,23.471799625409435
36,0.8839096210385076,0.3596302542901324,1.0069717761722798,0.9476625352146376,23.408048494207282
37,0.8894107593053057,0.4125548859845414,1.0087304470389409,0.9719495699310678,23.31503890406546
38,0.8894107593053057,0.4103931272724651,1.0087304470389409,0.9710497477142478,23.31503890406546
39,0.8894107593053057,0.4255461418672035,1.0087304470389409,0.9774386417815465,23.315038904065457
